age,annual_income,spending_score,membership_years,purchase_frequency,last_purchase_amount
56,36161,53,1.2,18,10.0
69,18014,56,0.4,9,97.94
46,22092,63,0.2,12,20.58
32,51353,81,14.6,9,34.2
60,121559,8,3.2,18,314.02
25,33927,59,2.3,13,46.49
38,33334,45,4.4,12,54.71
56,136068,27,5.5,8,100.65
36,25211,52,4.9,6,100.12
40,18092,18,0.1,15,18.12
28,29818,91,0.6,18,50.79
28,32936,86,3.2,13,57.02
41,17180,16,1.4,11,75.67
70,45395,66,12.1,8,77.25
53,86601,5,3.3,17,1217.96
57,22661,82,9.4,13,13.32
41,51665,3,0.7,12,176.99
20,62165,91,6.0,18,225.89
39,46628,81,1.2,19,98.63
70,54798,80,13.7,12,25.02
19,55182,70,0.5,11,402.46
41,30102,7,2.2,15,10.0
61,120469,50,4.7,16,24.05
47,103637,14,1.7,11,222.74
55,100102,38,1.9,11,35.02
19,90057,79,12.9,18,370.84
38,19053,47,1.7,10,10.0
50,85445,33,2.8,13,14.37
29,72646,43,0.2,12,28.85
39,19498,91,5.5,14,90.1
61,43090,29,3.1,13,41.83
42,57877,57,1.6,12,30.31
66,133064,5,0.0,12,300.21
44,75722,93,2.7,7,335.67
59,29180,96,0.0,10,33.21
45,135568,60,0.0,14,10.0
33,50325,70,2.9,10,10.0
32,42044,2,0.6,9,72.76
64,40284,70,0.6,9,119.96
68,18506,43,3.2,15,58.89
61,45896,4,0.2,8,50.14
69,66071,56,1.1,10,20.79
20,38900,93,0.5,7,119.82
54,63087,59,2.6,6,409.04
68,29183,89,3.3,11,10.0
24,45046,9,3.8,4,49.75
38,59273,3,0.9,15,17.04
26,54928,90,0.3,14,10.0
56,18708,48,0.2,11,14.07
35,37669,43,1.7,20,86.11
21,134118,91,8.7,12,88.76
42,36480,100,0.7,13,314.93
31,49487,96,0.9,13,55.18
67,46534,1,0.3,15,10.0
26,125610,57,2.8,12,41.03
43,106321,53,3.4,11,10.34
70,79580,16,3.1,12,12.83
19,27338,51,5.9,9,109.58
37,60810,75,2.0,10,68.92
45,68924,90,0.4,6,110.51
64,32235,55,1.0,10,35.55
24,29076,1,3.3,13,140.98
61,136353,90,2.8,8,33.25
25,40925,28,2.3,12,208.52
64,129183,53,3.4,14,82.56
52,89166,58,3.0,12,42.59
31,62612,73,6.4,12,70.42
34,64313,60,2.6,14,53.44
53,21157,59,4.5,13,370.68
67,55495,22,0.9,14,73.3
57,114715,8,3.4,13,54.49
21,73777,49,7.0,12,41.01
19,53777,42,1.5,14,150.18
23,136921,27,4.5,8,127.68
59,43869,39,3.9,14,39.31
21,33801,83,0.2,10,13.64
46,53760,25,2.6,17,18.5
35,77643,38,0.4,13,43.77
43,17488,85,10.3,15,275.53
61,58158,24,5.0,11,40.44
51,79714,24,0.3,15,26.76
27,41698,60,0.4,17,10.0
53,95242,83,2.7,8,335.71
31,72020,50,1.3,16,108.08
48,177163,66,0.1,10,141.91
65,31245,14,2.3,10,173.13
