age,annual_income,spending_score,membership_years,purchase_frequency,last_purchase_amount,cluster,pca1,pca2
56,36161,53,1.2,18,10.0,1,1.300955134378071,-0.44506128951267654
69,18014,56,0.4,9,97.94,4,-0.2801185515746382,-0.19568799140189347
46,22092,63,0.2,12,20.58,4,-0.2552168626060408,-0.48030404823645395
32,51353,81,14.6,9,34.2,2,-2.668912417762424,1.7259401220789081
60,121559,8,3.2,18,314.02,3,2.8918599868745263,-0.004021469811856084
25,33927,59,2.3,13,46.49,4,-0.5767555209500876,-0.6010550228010273
38,33334,45,4.4,12,54.71,1,-0.6237917860803055,-0.4699920102412397
56,136068,27,5.5,8,100.65,3,0.34927843543738707,1.3114582163514663
36,25211,52,4.9,6,100.12,4,-2.046326228716272,-0.20184208801528583
40,18092,18,0.1,15,18.12,1,0.5268561172679841,-1.8635402880754497
28,29818,91,0.6,18,50.79,4,0.39403996503331545,-0.20546014184652747
28,32936,86,3.2,13,57.02,4,-0.8352009442450576,0.17505623133580175
41,17180,16,1.4,11,75.67,1,-0.3483861784549642,-1.645111738527872
70,45395,66,12.1,8,77.25,2,-1.6206648558399754,1.720734780614357
53,86601,5,3.3,17,1217.96,0,2.9708695619675956,-1.0480817393085378
57,22661,82,9.4,13,13.32,2,-1.0677170445267454,1.0701740077485689
41,51665,3,0.7,12,176.99,1,0.5777231147698049,-1.5527426873231125
20,62165,91,6.0,18,225.89,2,0.14231145736795733,0.6457226066753197
39,46628,81,1.2,19,98.63,4,1.1115310251907131,0.02307050700787191
70,54798,80,13.7,12,25.02,2,-1.0551241626019232,2.2345806131810666
19,55182,70,0.5,11,402.46,4,-0.3689476765639015,-0.3371005271492348
41,30102,7,2.2,15,10.0,1,0.529085783064337,-1.7054726052533336
61,120469,50,4.7,16,24.05,3,1.7044584152798377,1.3456065223628442
47,103637,14,1.7,11,222.74,3,1.012321745332806,-0.2250314206270519
55,100102,38,1.9,11,35.02,3,0.751950352906827,0.5306778816839823
19,90057,79,12.9,18,370.84,2,-0.12207323610355583,1.4224517261692904
38,19053,47,1.7,10,10.0,1,-0.9394726210933257,-0.8271619252360888
50,85445,33,2.8,13,14.37,1,0.7632703619427874,0.1060929784240481
29,72646,43,0.2,12,28.85,1,0.171856947653379,-0.46059464983097115
39,19498,91,5.5,14,90.1,4,-0.8427461060611424,0.4568870943671857
61,43090,29,3.1,13,41.83,1,0.49441384473360084,-0.4524114483794506
42,57877,57,1.6,12,30.31,4,-0.001132231761918534,0.01324833495908859
66,133064,5,0.0,12,300.21,3,2.370463708903965,0.1316704658557916
44,75722,93,2.7,7,335.67,4,-0.8543864312169542,1.394641475652342
59,29180,96,0.0,10,33.21,4,-0.49728051059057915,0.7154771720212838
45,135568,60,0.0,14,10.0,3,1.6081722771475009,1.1543089208459087
33,50325,70,2.9,10,10.0,4,-0.9821293375016185,0.26007748489454036
32,42044,2,0.6,9,72.76,1,-0.43015244831517263,-1.7476816652448361
64,40284,70,0.6,9,119.96,4,-0.22387688336596917,0.42163335124661755
68,18506,43,3.2,15,58.89,1,0.6325817467901644,-0.4565157702522458
61,45896,4,0.2,8,50.14,1,0.08675590936748151,-1.1115832033013109
69,66071,56,1.1,10,20.79,4,0.37427319529621544,0.6344378390730602
20,38900,93,0.5,7,119.82,4,-1.8108780940134646,0.234549588170701
54,63087,59,2.6,6,409.04,4,-0.6351067611149883,0.5515494582820153
68,29183,89,3.3,11,10.0,4,-0.4580312701523255,1.0081081070592264
24,45046,9,3.8,4,49.75,1,-2.038577917715976,-1.1515081801927178
38,59273,3,0.9,15,17.04,1,1.0289102284284042,-1.5211629491737966
26,54928,90,0.3,14,10.0,4,-0.1268680341112829,0.2765439257868726
56,18708,48,0.2,11,14.07,1,-0.15855424293550452,-0.6767160130903358
35,37669,43,1.7,20,86.11,1,1.337313267203948,-1.093685746866372
21,134118,91,8.7,12,88.76,2,-0.5764614260970702,2.369649087109544
42,36480,100,0.7,13,314.93,4,-0.033575537705330324,0.47461051099328294
31,49487,96,0.9,13,55.18,4,-0.35983612543376897,0.505761363900487
67,46534,1,0.3,15,10.0,1,1.6054106934628956,-1.3119552956949243
26,125610,57,2.8,12,41.03,3,0.36578355741412755,0.928420759564172
43,106321,53,3.4,11,10.34,3,0.23472182372453534,0.9371546441708958
70,79580,16,3.1,12,12.83,1,1.039500555660394,0.028847022852241614
19,27338,51,5.9,9,109.58,2,-1.9076324476679216,-0.5154627709323807
37,60810,75,2.0,10,68.92,4,-0.6320366270451669,0.508467540947943
45,68924,90,0.4,6,110.51,4,-1.0342402497970793,1.1227990356575712
64,32235,55,1.0,10,35.55,4,-0.1364920719081179,-0.03689027736531145
24,29076,1,3.3,13,140.98,1,-0.22839524904428526,-2.032185103093008
61,136353,90,2.8,8,33.25,3,0.22486475189550004,2.6814539057422353
25,40925,28,2.3,12,208.52,1,-0.28414855937975997,-1.2589285923184999
64,129183,53,3.4,14,82.56,3,1.6727430262421794,1.5367698909387353
52,89166,58,3.0,12,42.59,3,0.4596109948532149,0.85347343047254
31,62612,73,6.4,12,70.42,2,-0.8585369298001204,0.7445573635872678
34,64313,60,2.6,14,53.44,4,0.1776647343315789,0.05995375598732885
53,21157,59,4.5,13,370.68,4,-0.05779225987874655,-0.2041488537296496
67,55495,22,0.9,14,73.3,1,1.3407103702124048,-0.5859336434483693
57,114715,8,3.4,13,54.49,3,1.4610241083414892,0.14192994172275827
21,73777,49,7.0,12,41.01,2,-0.8522228751477453,0.2358615305303602
19,53777,42,1.5,14,150.18,1,0.0728674001641744,-0.9580969420620903
23,136921,27,4.5,8,127.68,3,-0.24113371646395454,0.6242116997617484
59,43869,39,3.9,14,39.31,1,0.4804426811279595,-0.191801499314268
21,33801,83,0.2,10,13.64,4,-1.2391487595581943,-0.177377662590379
46,53760,25,2.6,17,18.5,1,1.161040535102168,-0.8425278359460293
35,77643,38,0.4,13,43.77,1,0.6019452161057672,-0.4179892865312987
43,17488,85,10.3,15,275.53,2,-0.9303324863501768,0.7248864396088212
61,58158,24,5.0,11,40.44,1,0.09539340593871966,-0.06360512063446268
51,79714,24,0.3,15,26.76,1,1.4987842170855303,-0.517463670187445
27,41698,60,0.4,17,10.0,4,0.5547446744428314,-0.7479220362616447
53,95242,83,2.7,8,335.71,4,-0.12132970549412614,1.5883972191215017
31,72020,50,1.3,16,108.08,1,0.8977952545831243,-0.33947063008787437
48,177163,66,0.1,10,141.91,3,1.4734359733891063,2.1351269661172947
65,31245,14,2.3,10,173.13,1,0.17625620386234223,-0.9457165697114637
32,80694,53,1.5,9,44.81,4,-0.47934583198301023,0.20377485049286573
25,26624,32,0.3,17,60.43,1,0.6010842755068032,-1.7301503621113494
31,18597,96,4.9,8,325.81,4,-1.9768052725084058,0.5043914729533306
40,15000,92,7.4,12,67.73,2,-1.536818337393427,0.7027349470299038
57,67710,48,4.2,12,110.5,4,0.2995802261472883,0.45272320593934956
38,54750,39,5.2,8,155.19,2,-1.1031450430103695,-0.07426150913111386
33,36774,40,0.7,14,118.1,1,0.25490471750904,-1.0964917465966226
62,16914,42,0.9,14,46.81,1,0.5500769508095219,-0.8008625355368011
35,32395,77,0.7,10,52.42,4,-0.9148186886130697,-0.05846763631445947
64,49141,76,4.3,11,138.82,4,-0.18687186050896468,0.9948273639412399
70,78897,8,8.9,10,138.55,2,0.11518088342133154,0.4363917626569674
41,48536,79,3.8,7,221.82,4,-1.4002648777572346,0.7195673347174751
43,57024,26,6.4,15,105.78,2,0.3516974924859098,-0.3941950516050745
42,39117,12,3.1,13,111.71,1,0.2159698158127246,-1.2926173733688706
62,140019,43,1.5,7,31.96,3,0.6246190869225592,1.5319658690449935
58,26610,51,1.7,14,27.18,1,0.39580658613014597,-0.412346989285122
46,32223,91,0.2,7,139.32,4,-1.2356627482104432,0.5074130625852782
32,36482,82,0.1,13,27.41,4,-0.32165191706472923,-0.09267313205434544
62,67888,100,3.6,10,53.26,4,-0.38262686985760563,1.8392194464409437
18,26283,63,1.7,8,285.67,4,-1.562658770840772,-0.7077682134183071
42,53179,49,2.4,11,236.2,1,-0.09543693255924385,-0.21271366769209768
24,54119,27,2.4,10,78.43,1,-0.668474685943412,-0.9540927045117243
26,32318,9,1.0,16,38.27,1,0.5737168049402092,-2.0594869983723547
41,59753,39,1.9,10,47.08,1,-0.27676594324143095,-0.3081748724127181
18,26777,65,1.9,6,154.65,4,-2.1232439729123627,-0.5057269780411383
